City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Kruisfontein,ZA,2022-12-07 23:31:27,-34.0033,24.7314,290.52,77,82,3.71
207,Kahului,US,2022-12-07 23:31:28,20.8947,-156.47,300.35,71,40,10.29
208,Luderitz,NA,2022-12-07 23:31:28,-26.6481,15.1594,287.77,81,0,3.98
209,Waingapu,ID,2022-12-07 23:31:29,-9.6567,120.2641,301.12,66,95,0.37
210,Sabinas Hidalgo,MX,2022-12-07 23:31:29,26.5,-100.1667,295.8,70,65,1.79
211,Buala,SB,2022-12-07 23:31:30,-8.145,159.5921,302.69,68,97,1.55
212,Airai,TL,2022-12-07 23:31:31,-8.9266,125.4092,294.74,49,76,0.86
213,West Wendover,US,2022-12-07 23:31:32,40.7391,-114.0733,271.71,80,100,2.06
214,Georgetown,MY,2022-12-07 23:27:50,5.4112,100.3354,300.31,85,20,4.63
215,Port Augusta,AU,2022-12-07 23:31:33,-32.5,137.7667,291.78,32,0,5.86
216,Husavik,IS,2022-12-07 23:31:33,66.0449,-17.3389,269.75,69,100,3.15
217,Kantabanji,IN,2022-12-07 23:31:34,20.4833,82.9167,284.92,51,79,0.54
218,Narsaq,GL,2022-12-07 23:31:35,60.9167,-46.05,269.27,72,93,2.54
219,Kosa,RU,2022-12-07 23:31:35,59.9445,54.9977,263.6,76,100,3.72
220,Tandil,AR,2022-12-07 23:30:10,-37.3217,-59.1332,298.68,43,62,5.2
221,Neuquen,AR,2022-12-07 23:32:37,-38.9516,-68.0591,302.09,18,0,5.66
222,Port Macquarie,AU,2022-12-07 23:32:37,-31.4333,152.9167,300.31,61,26,3.93
223,Margate,GB,2022-12-07 23:32:38,51.3813,1.3862,275.76,86,30,1.79
224,Ostrovnoy,RU,2022-12-07 23:32:39,68.0531,39.5131,266.82,91,81,4.64
225,La Ronge,CA,2022-12-07 23:30:42,55.1001,-105.2842,252.29,71,75,1.54
226,Lazaro Cardenas,MX,2022-12-07 23:29:28,17.9583,-102.2,300.92,67,1,3.31
227,Tateyama,JP,2022-12-07 23:32:40,34.9833,139.8667,283.2,60,0,2.42
228,Chuy,UY,2022-12-07 23:32:41,-33.6971,-53.4616,292.11,88,1,4.67
229,Rawson,AR,2022-12-07 23:32:41,-43.3002,-65.1023,294.62,48,93,1.15
230,Port Hardy,CA,2022-12-07 23:30:45,50.6996,-127.4199,278.25,81,100,10.8
231,Zhanaozen,KZ,2022-12-07 23:32:42,43.3,52.8,265.85,58,13,5.92
232,Hit,IQ,2022-12-07 23:32:42,33.6416,42.8251,287.72,55,100,2.4
233,Nexo,DK,2022-12-07 23:32:43,55.0607,15.1306,274.2,84,99,7.05
234,Pisco,PE,2022-12-07 23:32:43,-13.7,-76.2167,293.18,83,20,6.69
235,Yelovo,RU,2022-12-07 23:32:44,57.0538,54.9207,255.23,97,83,3.0
236,Tual,ID,2022-12-07 23:30:54,-5.6667,132.75,301.58,69,98,1.49
237,Sembe,CG,2022-12-07 23:32:45,1.6481,14.5806,294.05,96,93,0.85
238,Omboue,GA,2022-12-07 23:30:18,-1.5746,9.2618,297.26,88,100,1.71
239,Ambilobe,MG,2022-12-07 23:32:04,-13.2,49.05,295.93,87,2,1.0
240,Teguldet,RU,2022-12-07 23:32:46,57.3064,88.1667,258.01,93,100,5.03
241,Shubarkuduk,KZ,2022-12-07 23:32:47,49.1447,56.4872,255.48,83,10,2.03
242,Imbituba,BR,2022-12-07 23:32:48,-28.24,-48.6703,292.75,89,0,2.72
243,Belmonte,BR,2022-12-07 23:32:48,-15.8631,-38.8828,297.39,89,68,2.95
244,Zavodouspenskoye,RU,2022-12-07 23:32:49,56.8626,65.0155,254.53,90,62,3.35
245,Vyshneve,UA,2022-12-07 23:32:50,50.3891,30.3705,272.62,93,100,2.36
246,Abu Samrah,SY,2022-12-07 23:32:50,35.3029,37.1841,285.35,72,100,1.5
247,Nyurba,RU,2022-12-07 23:32:51,63.2842,118.3319,233.42,100,84,1.06
248,Muros,ES,2022-12-07 23:32:52,42.7762,-9.0603,287.09,80,100,5.92
249,Rorvik,NO,2022-12-07 23:32:52,64.8621,11.2373,271.21,74,20,4.63
250,Coihaique,CL,2022-12-07 23:32:53,-45.5752,-72.0662,288.12,67,75,2.57
