City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
328,Akdepe,TM,42.0551,59.3788,8.69,68,0,clear sky
329,Aygut,AM,40.6833,45.1729,27.28,81,58,broken clouds
330,Jablunkov,CZ,49.5767,18.7646,35.1,99,100,light snow
331,Cheltenham,GB,51.9,-2.0833,32.94,87,14,few clouds
332,Malpe,IN,13.35,74.7167,74.5,69,91,overcast clouds
333,Natal,BR,-5.795,-35.2094,79.45,78,40,scattered clouds
334,Nurpur,IN,29.15,78.4167,56.23,47,19,few clouds
335,Quatre Cocos,MU,-20.2078,57.7625,77.11,84,66,broken clouds
336,Fasa,IR,28.9383,53.6482,38.44,93,0,clear sky
337,Lavrentiya,RU,65.5833,-171.0,15.91,94,100,overcast clouds
338,Salalah,OM,17.0151,54.0924,71.69,56,0,clear sky
339,Kita,ML,13.0349,-9.4895,73.74,25,0,clear sky
340,Bissau,GW,11.8636,-15.5977,75.31,94,2,clear sky
341,Cherskiy,RU,68.75,161.3,-26.32,100,72,broken clouds
342,Eureka,US,40.8021,-124.1637,48.61,85,100,overcast clouds
343,Lusambo,CD,-4.9667,23.45,64.13,98,54,broken clouds
344,Orbetello,IT,42.4408,11.2196,62.62,88,100,light rain
345,Codrington,AU,-38.2667,141.9667,70.38,46,6,clear sky
346,Staroderevyankovskaya,RU,46.1276,38.9674,44.13,69,99,overcast clouds
347,Bambanglipuro,ID,-7.95,110.2833,83.71,65,93,overcast clouds
348,Olafsvik,IS,64.8945,-23.7142,33.76,74,23,few clouds
349,Berlevag,NO,70.8578,29.0864,19.2,86,75,light snow
350,Chokurdakh,RU,70.6333,147.9167,-11.45,97,100,overcast clouds
351,Aquiraz,BR,-3.9014,-38.3911,81.18,80,22,few clouds
352,Tikamgarh,IN,24.745,78.8333,54.37,53,10,clear sky
353,Marathon,US,44.9,-89.7668,28.35,82,100,overcast clouds
354,Pahrump,US,36.2083,-115.9839,48.25,41,3,clear sky
355,San Cristobal,VE,7.7669,-72.225,66.38,94,61,broken clouds
356,Alakurtti,RU,66.9672,30.3491,14.88,92,100,overcast clouds
357,Tabas,IR,33.5959,56.9244,43.45,52,11,few clouds
358,Clyde River,CA,70.4692,-68.5914,1.63,85,100,light snow
359,Auki,SB,-8.7676,160.7034,83.23,75,99,overcast clouds
360,Craig,US,40.5153,-107.5464,19.02,79,40,scattered clouds
361,Koungou,YT,-12.7336,45.2042,78.51,89,0,clear sky
362,Leh,IN,34.1667,77.5833,16.77,73,87,overcast clouds
363,Lompoc,US,34.6391,-120.4579,56.79,87,0,clear sky
364,North Bend,US,43.4065,-124.2243,50.07,92,100,overcast clouds
365,Touba,CI,8.2833,-7.6833,76.08,54,85,overcast clouds
366,Vuktyl,RU,63.8567,57.3094,-17.16,100,90,overcast clouds
367,Amurzet,RU,47.6967,131.0981,9.01,79,7,clear sky
368,Orzu,TJ,37.5593,68.8184,36.0,75,91,overcast clouds
369,Dunabogdany,HU,47.7905,19.0413,44.82,99,100,overcast clouds
370,Saint-Denis,FR,48.9167,2.3333,34.14,95,100,mist
371,Launceston,AU,-41.45,147.1667,64.62,57,75,broken clouds
372,Bongandanga,CD,1.5,21.05,70.09,82,100,overcast clouds
373,Rio Gallegos,AR,-51.6226,-69.2181,53.65,43,0,clear sky
374,Vizinga,RU,61.0749,50.1031,13.51,94,100,overcast clouds
375,Tiksi,RU,71.6872,128.8694,-29.6,100,92,overcast clouds
376,Halifax,CA,44.6453,-63.5724,39.45,94,100,overcast clouds
377,Kulhudhuffushi,MV,6.6221,73.07,81.5,70,95,overcast clouds
378,Saint-Leu,RE,-21.15,55.2833,76.06,78,5,clear sky
379,Taksimo,RU,56.3444,114.8794,4.05,88,100,overcast clouds
380,Honiara,SB,-9.4333,159.95,84.74,75,83,light rain
381,Gazli,UZ,40.1333,63.45,17.89,55,0,clear sky
382,Nuevo Progreso,MX,23.1667,-97.95,70.9,76,2,clear sky
383,Yumen,CN,40.2833,97.2,12.51,66,69,broken clouds
384,Kavaratti,IN,10.5669,72.642,81.32,67,75,broken clouds
385,Trincomalee,LK,8.5711,81.2335,75.15,81,100,overcast clouds
386,Ahuimanu,US,21.4447,-157.8378,82.11,62,75,light rain
